date,state,rainfall_24h,rainfall_cumulative,soil_moisture,slope,elevation,ndvi,distance_to_road,historical_landslide_density,temperature,risk_score
2010-01-26,Manipur,55.16,103.34,78.56,10.78,1563.08,100.0,0.6,28.05,13.09,31.34
2010-01-27,Meghalaya,110.35,209.31,88.08,4.39,595.53,100.0,18.29,11.94,20.71,37.07
2010-01-28,Nagaland,60.63,172.4,95.08,25.81,2289.37,100.0,0.1,41.23,33.49,41.03
2010-01-29,Sikkim,55.9,161.19,53.22,39.8,3778.77,100.0,8.27,33.85,22.82,43.43
2010-01-30,Manipur,85.06,144.04,58.1,30.94,2679.17,100.0,22.39,6.67,21.19,35.73
2010-01-31,Tripura,30.12,101.25,61.66,34.81,2428.53,100.0,26.75,17.27,15.39,27.39
2010-02-01,Tripura,62.32,169.32,91.45,29.79,1271.7,100.0,7.65,53.05,25.54,44.93
2010-02-02,Assam,92.89,151.75,77.17,11.93,2445.04,100.0,37.26,38.08,21.38,44.78
2010-02-03,Mizoram,13.32,75.63,40.9,39.8,3544.48,91.6,9.45,15.45,29.32,27.34
2010-02-04,Nagaland,37.37,154.61,97.57,54.82,1533.33,100.0,5.79,41.38,22.9,51.19
2010-02-05,Sikkim,63.3,135.16,62.61,20.16,1006.11,100.0,16.67,38.55,32.16,30.02
2010-02-06,Mizoram,107.46,130.47,52.35,14.5,1949.78,100.0,27.57,36.12,29.58,35.98
2010-02-07,Manipur,195.67,242.82,76.94,44.52,1535.94,100.0,49.45,70.07,13.63,60.41
2010-02-08,Nagaland,48.68,135.45,47.11,9.95,1906.21,100.0,20.94,33.14,13.4,33.53
2010-02-09,Tripura,20.83,85.5,23.39,44.21,428.13,100.0,21.3,52.48,10.61,24.52
2010-02-10,Tripura,23.05,92.09,56.67,27.47,1378.03,100.0,2.97,31.63,19.23,28.73
2010-02-11,Arunachal Pradesh,52.33,148.07,46.29,27.48,3314.86,100.0,38.29,48.54,11.37,31.95
2010-02-12,Sikkim,163.04,235.38,91.78,23.13,1631.27,100.0,9.09,77.2,21.25,58.07
2010-02-13,Arunachal Pradesh,18.5,45.47,63.86,48.0,3873.19,100.0,37.24,69.98,16.03,42.68
2010-02-14,Manipur,70.71,172.98,80.25,30.75,2849.94,100.0,45.53,43.41,22.46,42.39
2010-02-15,Nagaland,93.99,220.42,84.74,28.91,1495.84,100.0,38.41,23.09,13.96,41.27
2010-02-16,Sikkim,45.77,108.39,38.56,58.0,1044.07,100.0,32.12,76.73,23.73,44.15
2010-02-17,Tripura,116.07,166.81,86.05,42.8,2757.2,100.0,30.2,1.09,34.16,39.06
2010-02-18,Nagaland,145.38,281.66,100.0,21.75,1244.66,100.0,22.68,59.45,25.93,53.07
2010-02-19,Meghalaya,28.78,95.22,80.17,29.94,3711.23,100.0,7.23,44.19,24.11,43.59
2010-02-20,Arunachal Pradesh,109.87,172.47,54.54,40.37,509.53,100.0,38.94,48.39,29.7,34.33
2010-02-21,Sikkim,89.51,104.92,59.81,17.01,163.52,100.0,23.87,36.92,10.14,29.47
2010-02-22,Tripura,67.13,173.54,70.47,20.23,923.06,100.0,31.28,11.06,17.06,29.87
2010-02-23,Meghalaya,49.29,99.23,53.88,18.42,2446.15,100.0,18.7,8.12,34.67,25.7
2010-02-24,Manipur,138.42,265.09,93.42,27.69,3348.1,100.0,10.04,24.75,29.57,60.46
2010-02-25,Mizoram,29.5,100.23,92.52,21.12,722.01,100.0,40.33,7.44,12.26,18.69
2010-02-26,Arunachal Pradesh,53.77,84.78,58.57,14.84,2359.66,100.0,17.12,11.83,18.16,25.54
2010-02-27,Meghalaya,102.91,221.07,77.55,9.01,619.4,100.0,43.33,33.07,21.0,38.72
2010-02-28,Assam,82.4,139.21,72.31,54.13,2274.56,100.0,48.29,70.94,33.36,51.98
2010-03-01,Sikkim,132.99,189.67,58.23,32.51,121.82,100.0,41.5,84.35,24.65,50.45
2010-03-02,Sikkim,39.82,44.79,38.22,54.48,2253.34,100.0,6.41,25.15,11.93,26.88
2010-03-03,Mizoram,120.19,230.16,100.0,43.25,2111.01,100.0,42.75,53.14,22.73,59.54
2010-03-04,Manipur,96.78,258.93,94.61,10.29,219.25,100.0,25.97,43.01,17.23,46.41
2010-03-05,Arunachal Pradesh,87.71,183.2,100.0,27.7,2773.2,100.0,12.07,24.38,18.47,41.14
2010-03-06,Assam,34.07,172.44,78.5,40.23,2310.41,100.0,4.66,38.11,12.86,36.76
2010-03-07,Nagaland,102.47,261.65,73.64,32.39,2511.23,100.0,13.93,86.21,21.47,45.57
2010-03-08,Assam,51.0,147.15,45.65,32.57,2142.61,100.0,6.87,64.94,26.74,26.32
2010-03-09,Nagaland,240.44,473.64,100.0,53.1,2901.87,100.0,1.28,100.0,28.99,91.04
2010-03-10,Sikkim,39.53,167.75,57.93,53.39,2123.77,95.49,49.39,64.54,27.38,42.51
2010-03-11,Manipur,37.65,153.62,53.76,23.45,3692.97,100.0,41.58,54.05,26.51,25.67
2010-03-12,Sikkim,101.1,126.28,57.53,19.52,3776.86,100.0,36.95,39.66,31.73,26.23
2010-03-13,Nagaland,10.32,56.01,66.15,40.77,2920.37,100.0,9.65,67.95,18.31,32.63
2010-03-14,Nagaland,47.81,93.97,53.28,33.14,3651.46,100.0,1.39,0.0,15.36,30.26
2010-03-15,Nagaland,78.45,214.53,70.28,9.95,3696.46,100.0,24.26,14.54,12.24,39.4
2010-03-16,Mizoram,74.74,149.81,88.15,40.68,1084.89,100.0,37.08,15.75,14.14,45.32
2010-03-17,Sikkim,20.58,150.96,85.82,29.0,3976.02,100.0,48.14,25.95,13.73,37.9
2010-03-18,Tripura,137.85,260.84,100.0,20.39,1106.38,100.0,42.19,47.34,32.81,48.72
2010-03-19,Manipur,162.44,292.55,100.0,64.36,123.23,100.0,44.68,68.55,14.51,64.58
2010-03-20,Manipur,78.18,152.12,86.31,53.38,3850.79,100.0,11.93,34.83,12.35,56.24
2010-03-21,Nagaland,20.26,73.01,43.33,52.73,933.69,100.0,7.77,47.05,20.01,34.41
2010-03-22,Manipur,14.03,81.8,66.24,39.74,2357.28,100.0,12.39,44.97,14.24,37.73
2010-03-23,Nagaland,38.14,104.57,79.13,23.01,3884.14,100.0,6.93,42.54,13.26,31.92
2010-03-24,Manipur,97.98,178.37,100.0,26.95,245.33,100.0,39.92,56.55,19.06,45.16
2010-03-25,Nagaland,35.74,87.38,60.04,17.41,1113.78,100.0,45.15,14.96,32.98,22.03
2010-03-26,Arunachal Pradesh,32.33,171.34,66.89,11.36,2454.85,100.0,15.37,52.84,10.76,35.17
2010-03-27,Tripura,97.38,275.97,81.93,59.21,3062.1,100.0,43.85,65.75,15.19,54.89
2010-03-28,Meghalaya,65.81,129.88,80.67,60.94,3239.1,100.0,2.75,68.52,30.61,54.31
2010-03-29,Assam,91.44,221.12,74.22,28.84,3541.19,100.0,33.87,33.9,16.13,39.77
2010-03-30,Sikkim,121.12,198.57,81.32,57.3,715.32,82.29,26.37,92.83,21.03,52.23
2010-03-31,Assam,55.24,119.78,50.75,20.83,1511.65,100.0,13.84,42.48,12.46,27.31
2010-04-01,Manipur,70.34,112.01,60.02,8.49,2871.3,100.0,38.41,27.7,29.88,25.91
2010-04-02,Meghalaya,52.52,169.57,80.5,54.8,2875.47,95.54,10.6,30.1,28.41,48.02
2010-04-03,Mizoram,80.2,189.68,81.97,28.02,1266.82,100.0,20.81,64.71,13.2,47.48
2010-04-04,Nagaland,71.61,184.43,87.96,32.29,1251.68,100.0,35.49,22.89,33.7,40.51
2010-04-05,Manipur,97.74,232.14,65.82,18.11,1316.54,100.0,16.91,86.61,24.77,44.54
2010-04-06,Tripura,133.05,214.79,81.21,48.14,3573.72,100.0,42.77,70.2,29.95,56.67
2010-04-07,Tripura,115.67,210.53,75.05,55.29,3642.57,100.0,43.27,32.61,29.09,57.1
2010-04-08,Arunachal Pradesh,28.85,111.08,47.48,38.09,108.57,93.48,10.13,44.41,22.98,26.48
2010-04-09,Manipur,62.7,130.22,54.8,27.03,1333.81,100.0,22.02,75.88,28.69,38.46
2010-04-10,Manipur,49.86,127.57,52.1,29.26,1598.54,100.0,21.6,37.11,15.94,33.58
2010-04-11,Assam,68.16,120.26,69.3,24.22,3930.42,100.0,20.5,26.97,10.53,41.72
2010-04-12,Meghalaya,142.78,317.35,100.0,52.99,3779.46,100.0,25.1,74.45,18.55,61.6
2010-04-13,Nagaland,34.77,139.69,81.07,40.81,2531.88,100.0,3.72,29.28,13.81,48.27
2010-04-14,Manipur,51.56,176.82,80.28,23.27,230.93,100.0,43.5,66.0,34.53,36.63
2010-04-15,Assam,72.28,184.79,79.34,18.99,805.31,100.0,14.5,20.85,33.09,29.49
2010-04-16,Manipur,58.98,94.71,60.13,12.56,1765.11,87.99,0.09,34.39,13.6,28.57
2010-04-17,Assam,46.35,100.35,70.2,14.69,3838.19,100.0,34.26,52.39,18.6,37.93
2010-04-18,Assam,90.74,158.04,40.01,8.47,424.08,100.0,32.52,31.16,22.73,26.45
2010-04-19,Sikkim,78.86,157.99,70.71,26.71,3175.84,100.0,49.16,64.97,19.97,38.03
2010-04-20,Manipur,53.52,172.58,79.27,37.22,805.21,100.0,35.96,42.1,27.5,46.11
2010-04-21,Nagaland,21.42,23.22,71.49,52.61,2056.01,100.0,16.64,16.1,22.59,37.5
2010-04-22,Manipur,110.41,192.28,61.78,62.65,3079.53,100.0,47.63,75.4,24.13,52.74
2010-04-23,Mizoram,49.5,108.47,44.49,11.39,2785.36,100.0,18.27,33.28,26.94,29.0
2010-04-24,Meghalaya,193.91,288.31,63.6,47.07,3114.2,100.0,41.06,43.2,10.59,61.77
2010-04-25,Tripura,150.94,284.6,76.06,23.64,3263.69,100.0,16.78,48.55,10.31,57.43
2010-04-26,Tripura,122.59,220.21,81.77,30.17,1257.68,100.0,2.44,27.61,14.45,42.97
2010-04-27,Tripura,113.54,264.79,82.1,22.22,1487.92,100.0,36.69,47.47,27.96,48.8
2010-04-28,Meghalaya,144.25,255.36,79.89,41.88,3272.18,100.0,17.51,100.0,16.01,69.85
2010-04-29,Assam,135.05,270.93,94.53,13.08,202.64,100.0,16.94,62.81,33.0,44.43
2010-04-30,Tripura,94.46,196.28,87.99,44.42,2082.1,100.0,35.79,64.38,11.96,52.33
2010-05-01,Tripura,103.75,106.36,61.46,19.29,3685.6,100.0,16.1,33.66,24.5,40.42
2010-05-02,Mizoram,161.6,234.99,87.4,23.6,3545.77,100.0,5.9,66.28,10.64,54.52
2010-05-03,Mizoram,91.85,203.12,86.68,14.56,3227.0,100.0,20.23,39.14,34.3,37.92
2010-05-04,Nagaland,43.68,129.03,38.32,17.61,135.12,100.0,41.19,0.0,15.34,16.36
2010-05-05,Meghalaya,135.57,250.6,92.06,64.83,3556.36,100.0,6.51,40.69,24.69,60.99
2010-05-06,Tripura,107.98,265.18,91.91,25.82,3651.07,100.0,27.72,38.45,33.83,45.13
2010-05-07,Sikkim,18.57,98.26,59.54,71.86,2671.5,100.0,6.61,47.33,10.76,37.1
2010-05-08,Sikkim,69.86,217.6,74.76,21.25,1230.71,100.0,2.46,42.9,22.82,33.39
2010-05-09,Assam,57.62,38.05,44.53,8.59,1985.21,100.0,18.94,41.84,23.17,22.88
2010-05-10,Assam,155.97,353.33,100.0,24.58,3062.35,100.0,32.89,65.41,18.79,57.57
2010-05-11,Mizoram,66.06,124.8,89.1,28.2,3261.46,100.0,13.75,40.14,26.36,39.14
2010-05-12,Manipur,41.32,112.97,37.22,56.08,1406.21,100.0,22.29,27.28,23.56,30.3
2010-05-13,Sikkim,141.59,309.86,100.0,54.8,1337.97,100.0,24.57,65.31,16.23,66.73
2010-05-14,Manipur,47.65,36.89,65.65,16.41,2957.92,100.0,42.06,9.49,27.63,21.09
2010-05-15,Arunachal Pradesh,17.91,66.73,34.29,16.02,2761.11,100.0,40.95,4.23,21.65,19.58
2010-05-16,Nagaland,102.24,243.72,86.05,35.63,2077.13,100.0,0.12,0.0,21.76,51.19
2010-05-17,Mizoram,91.99,163.31,76.8,29.19,1710.03,100.0,20.7,17.26,33.8,39.89
2010-05-18,Manipur,83.69,212.08,100.0,11.2,2645.78,100.0,32.8,71.71,23.38,56.23
2010-05-19,Nagaland,98.64,225.02,100.0,37.37,178.11,100.0,42.62,74.49,29.62,52.32
2010-05-20,Mizoram,121.95,239.69,68.88,25.06,348.97,84.18,2.44,29.43,31.68,41.79
2010-05-21,Mizoram,97.04,219.51,79.37,21.12,2313.69,100.0,31.41,32.85,24.52,39.09
2010-05-22,Tripura,54.4,183.39,79.67,64.27,880.6,100.0,42.1,100.0,29.66,55.54
2010-05-23,Mizoram,33.1,123.76,73.1,31.04,3110.4,92.64,12.75,85.5,17.74,45.39
2010-05-24,Arunachal Pradesh,18.78,115.34,66.08,67.12,3100.84,100.0,10.26,59.4,14.55,48.55
2010-05-25,Meghalaya,116.81,189.97,63.77,28.95,2854.35,100.0,23.39,58.43,27.39,42.12
2010-05-26,Sikkim,66.24,172.65,59.64,25.41,3619.23,100.0,48.13,45.94,33.15,36.25
2010-05-27,Assam,51.17,146.33,46.15,11.41,606.3,100.0,34.64,24.06,11.06,17.88
2010-05-28,Sikkim,20.29,125.39,34.77,20.72,1074.0,100.0,21.22,38.43,29.08,24.48
2010-05-29,Nagaland,61.91,96.55,35.85,20.4,1046.58,100.0,1.04,42.46,10.71,30.8
2010-05-30,Mizoram,107.64,254.4,100.0,49.56,3140.44,100.0,27.84,81.27,21.47,56.29
2010-05-31,Assam,95.07,157.44,82.14,13.13,2109.31,100.0,17.44,38.88,26.93,36.99
2010-06-01,Mizoram,40.97,205.08,89.32,62.56,1048.07,100.0,9.29,68.06,20.13,49.73
2010-06-02,Meghalaya,65.13,112.15,59.09,9.65,588.89,100.0,25.01,0.74,17.52,26.32
2010-06-03,Meghalaya,40.91,64.7,52.32,40.63,3577.41,100.0,17.07,20.28,14.67,28.16
2010-06-04,Meghalaya,19.12,67.06,49.38,17.26,2783.91,98.45,1.94,0.0,34.45,20.93
2010-06-05,Mizoram,173.57,352.29,86.65,45.37,2137.67,100.0,36.28,77.38,24.26,56.51
2010-06-06,Manipur,50.21,139.52,77.62,28.45,3863.61,100.0,36.63,26.76,13.2,36.32
2010-06-07,Assam,145.73,335.77,100.0,33.83,3405.88,100.0,30.94,56.51,11.2,60.63
2010-06-08,Meghalaya,66.94,138.39,50.42,13.71,753.58,100.0,42.04,32.42,16.08,30.37
2010-06-09,Manipur,112.03,198.45,62.42,46.98,2057.12,100.0,10.16,59.37,23.47,52.44
2010-06-10,Tripura,115.98,194.6,84.2,18.65,1970.01,100.0,14.31,0.7,28.8,37.26
2010-06-11,Nagaland,87.31,159.92,77.13,13.06,3384.93,100.0,22.93,40.24,34.52,44.11
2010-06-12,Arunachal Pradesh,107.55,155.43,82.08,65.03,638.9,100.0,3.01,50.16,30.85,62.12
2010-06-13,Arunachal Pradesh,110.65,190.03,99.21,61.19,1834.56,100.0,44.18,77.21,25.3,56.67
2010-06-14,Arunachal Pradesh,130.16,196.82,63.49,51.12,2564.34,100.0,24.53,48.84,26.66,51.38
2010-06-15,Arunachal Pradesh,17.8,105.45,59.86,9.32,3783.76,90.97,16.23,12.98,23.05,25.33
2010-06-16,Arunachal Pradesh,46.12,178.39,60.67,22.6,3602.1,100.0,23.9,61.95,20.86,36.63
2010-06-17,Arunachal Pradesh,207.28,369.78,100.0,7.14,2158.7,100.0,16.26,31.25,29.62,51.9
2010-06-18,Mizoram,14.78,45.22,42.6,25.79,2446.55,100.0,14.31,17.15,14.43,26.99
2010-06-19,Assam,55.77,163.43,94.29,39.89,3416.99,100.0,22.4,27.77,18.35,50.33
2010-06-20,Nagaland,81.47,170.64,90.7,44.86,2990.33,100.0,24.1,40.14,34.47,41.73
2010-06-21,Manipur,96.57,235.45,85.97,27.14,3523.38,100.0,21.67,80.76,24.29,54.11
2010-06-22,Assam,144.63,229.13,53.48,15.67,3588.93,100.0,27.4,16.52,22.46,36.45
2010-06-23,Nagaland,95.91,158.83,77.66,30.37,3338.71,100.0,39.17,35.98,31.27,44.72
2010-06-24,Meghalaya,147.48,300.27,100.0,17.18,87.04,100.0,2.86,64.36,29.05,53.7
2010-06-25,Tripura,55.25,132.07,52.41,55.91,1278.19,100.0,40.58,46.69,18.15,42.06
2010-06-26,Sikkim,8.82,100.3,72.52,35.02,1643.89,80.08,11.43,45.37,25.65,36.85
2010-06-27,Tripura,131.5,212.91,68.29,31.18,2727.77,100.0,12.6,36.2,14.63,45.26
2010-06-28,Manipur,66.06,166.44,85.7,53.68,1262.1,100.0,29.97,51.35,11.32,46.14
2010-06-29,Tripura,38.19,129.14,69.44,40.82,1328.05,100.0,48.78,38.19,34.75,42.51
2010-06-30,Nagaland,168.69,241.55,66.41,12.57,1630.8,100.0,0.87,36.72,28.43,45.64
2010-07-01,Mizoram,40.55,110.69,56.72,22.52,3823.57,100.0,33.66,55.8,33.27,37.56
2010-07-02,Sikkim,56.78,54.52,53.07,35.59,1776.77,100.0,34.84,21.12,30.8,29.41
2010-07-03,Meghalaya,83.66,234.28,91.36,20.38,605.66,100.0,28.68,49.82,20.7,41.94
2010-07-04,Manipur,77.55,113.62,78.22,36.98,75.11,100.0,0.48,59.05,31.54,47.05
2010-07-05,Arunachal Pradesh,51.41,119.56,81.28,47.19,984.62,100.0,30.32,56.59,29.67,37.59
2010-07-06,Mizoram,117.09,225.43,81.51,22.61,3758.3,100.0,5.75,38.44,16.46,47.73
2010-07-07,Mizoram,41.65,73.99,63.19,15.28,3822.22,100.0,3.9,52.04,25.58,32.94
2010-07-08,Assam,139.78,333.63,100.0,8.45,2139.56,100.0,34.8,50.82,17.63,55.81
2010-07-09,Sikkim,184.73,299.42,84.6,39.94,2603.14,100.0,35.01,77.32,15.85,69.57
2010-07-10,Assam,92.21,177.53,66.39,20.95,3193.88,100.0,44.5,27.66,12.04,41.36
2010-07-11,Meghalaya,93.5,162.67,47.71,47.04,270.76,100.0,0.17,61.5,23.58,50.23
2010-07-12,Mizoram,40.41,82.7,47.07,12.51,1528.51,100.0,18.94,37.98,19.81,20.8
2010-07-13,Tripura,217.17,371.4,100.0,34.45,2586.88,100.0,0.61,49.04,12.2,52.39
2010-07-14,Meghalaya,35.73,131.72,34.6,34.03,3598.1,98.77,18.23,67.34,27.96,38.12
2010-07-15,Arunachal Pradesh,85.62,184.83,83.52,8.1,2920.98,100.0,24.58,55.11,28.08,44.14
2010-07-16,Tripura,154.29,251.1,83.13,24.23,1432.74,100.0,26.49,36.44,15.88,46.21
2010-07-17,Tripura,46.95,120.17,63.09,31.05,3644.43,100.0,17.8,9.25,33.9,31.43
2010-07-18,Assam,78.17,112.57,44.98,32.01,2675.25,100.0,36.27,33.72,29.45,36.22
2010-07-19,Mizoram,41.94,160.25,70.52,42.06,3329.43,100.0,20.78,45.07,30.13,48.99
2010-07-20,Arunachal Pradesh,116.43,204.4,100.0,47.06,1572.75,100.0,25.86,41.94,10.09,54.08
2010-07-21,Mizoram,139.25,240.78,82.16,16.55,58.53,100.0,40.0,32.96,34.46,46.36
2010-07-22,Arunachal Pradesh,38.54,29.96,12.8,40.39,706.37,100.0,8.72,49.8,34.76,30.96
2010-07-23,Sikkim,16.56,54.57,69.12,22.52,3712.35,100.0,16.04,58.73,22.68,36.42
2010-07-24,Nagaland,5.18,125.07,73.15,24.56,180.84,100.0,26.07,50.42,34.63,36.21
2010-07-25,Arunachal Pradesh,47.77,146.12,70.64,16.24,2404.36,100.0,38.38,57.77,25.3,31.83
2010-07-26,Nagaland,80.02,214.4,91.4,35.29,1666.05,100.0,21.27,49.19,13.35,43.63
2010-07-27,Assam,158.91,293.03,99.84,50.08,1746.84,100.0,3.64,33.6,30.36,57.07
2010-07-28,Nagaland,92.13,83.39,81.33,44.84,1633.23,100.0,49.44,29.73,23.95,42.48
2010-07-29,Meghalaya,75.14,165.5,84.38,30.18,316.33,100.0,35.4,27.17,18.56,44.37
2010-07-30,Sikkim,121.07,239.65,81.08,12.89,533.21,100.0,36.14,60.1,15.9,45.98
2010-07-31,Tripura,110.89,252.16,100.0,20.93,298.61,100.0,23.26,3.66,22.97,28.95
2010-08-01,Arunachal Pradesh,66.23,147.88,96.88,25.87,262.94,100.0,27.35,40.78,27.29,54.12
2010-08-02,Assam,27.22,59.96,65.65,44.89,388.16,100.0,49.7,35.37,31.93,34.1
2010-08-03,Tripura,127.89,237.87,93.68,29.65,2801.64,100.0,29.76,55.84,24.97,58.24
2010-08-04,Mizoram,92.3,174.76,62.14,32.0,501.11,100.0,10.95,24.39,20.38,40.28
2010-08-05,Arunachal Pradesh,26.06,110.04,72.29,31.19,1082.9,100.0,48.22,59.9,25.8,27.61
2010-08-06,Arunachal Pradesh,95.96,190.07,83.83,54.74,2644.95,100.0,26.89,59.92,22.42,55.94
2010-08-07,Nagaland,51.74,88.0,57.2,9.05,493.45,100.0,1.03,0.82,26.3,17.85
2010-08-08,Nagaland,157.08,308.3,100.0,14.73,3645.51,100.0,28.67,28.58,25.22,54.07
2010-08-09,Arunachal Pradesh,43.23,85.3,58.37,26.32,1936.06,100.0,3.52,23.1,34.47,33.84
2010-08-10,Manipur,131.07,233.97,95.02,29.03,3854.08,100.0,26.38,58.6,25.56,59.16
2010-08-11,Arunachal Pradesh,168.61,284.36,100.0,39.06,810.42,100.0,41.27,42.76,27.28,53.97
2010-08-12,Meghalaya,61.16,151.24,50.28,9.81,170.97,100.0,26.94,42.14,32.31,16.02
2010-08-13,Sikkim,79.58,114.52,47.53,9.38,2381.61,100.0,18.67,25.26,32.83,28.32
2010-08-14,Mizoram,102.9,205.63,67.44,43.95,1348.52,100.0,44.13,82.27,13.52,52.19
2010-08-15,Meghalaya,92.45,231.9,100.0,21.33,2310.94,100.0,46.38,32.12,21.35,44.36
2010-08-16,Manipur,23.54,89.15,67.33,43.89,1920.92,100.0,17.37,39.74,33.57,36.37
2010-08-17,Manipur,61.25,115.18,73.94,28.19,1855.77,100.0,24.95,53.17,33.99,36.55
2010-08-18,Manipur,140.27,245.78,100.0,43.87,3412.15,100.0,49.15,39.68,14.75,60.08
2010-08-19,Meghalaya,67.33,162.83,56.87,28.83,807.74,100.0,8.91,22.26,21.09,41.85
2010-08-20,Mizoram,169.28,326.34,74.69,12.87,2023.56,100.0,14.91,25.88,16.97,47.24
2010-08-21,Assam,137.51,316.42,100.0,27.59,1693.22,100.0,21.42,67.18,29.77,59.94
2010-08-22,Mizoram,68.62,87.9,71.04,46.38,2711.39,100.0,5.04,13.08,31.3,45.2
2010-08-23,Assam,58.25,147.91,66.62,21.13,248.02,100.0,13.6,41.08,21.73,29.7
2010-08-24,Arunachal Pradesh,34.21,108.74,41.2,24.78,2141.21,100.0,27.23,19.3,26.89,22.71
2010-08-25,Tripura,35.66,100.82,46.59,21.34,1940.24,100.0,11.42,16.89,31.75,32.69
2010-08-26,Meghalaya,67.29,165.15,55.34,37.79,3895.64,100.0,34.31,7.61,27.74,33.87
2010-08-27,Arunachal Pradesh,52.45,119.5,54.71,45.76,3035.5,100.0,17.38,42.79,13.91,38.82
2010-08-28,Sikkim,71.43,117.19,46.05,21.26,662.17,100.0,4.49,17.41,27.8,31.31
2010-08-29,Manipur,131.38,255.62,93.32,29.02,2061.4,100.0,38.23,45.74,13.97,45.82
2010-08-30,Manipur,91.52,213.26,74.44,15.71,3145.76,100.0,28.37,35.08,26.34,39.66
2010-08-31,Meghalaya,123.3,233.06,96.11,39.35,2122.05,100.0,41.24,87.56,18.34,57.92
2010-09-01,Sikkim,71.52,199.66,65.28,22.39,1458.97,100.0,18.01,22.84,11.41,26.47
2010-09-02,Nagaland,91.67,178.01,79.43,47.22,1537.79,100.0,0.97,61.49,15.66,50.48
2010-09-03,Meghalaya,67.29,169.36,73.31,63.58,1499.67,100.0,2.33,51.83,21.71,42.93
2010-09-04,Meghalaya,68.49,89.47,63.83,22.11,128.82,100.0,39.77,41.67,34.85,28.76
2010-09-05,Meghalaya,180.42,410.32,100.0,23.14,2935.85,100.0,20.53,58.91,16.39,61.1
2010-09-06,Assam,55.83,124.64,74.58,33.43,2462.99,100.0,48.82,74.72,34.47,30.74
2010-09-07,Nagaland,99.67,179.98,88.46,47.14,1111.28,100.0,41.52,50.37,19.11,46.43
2010-09-08,Assam,46.08,108.49,69.83,12.68,2538.59,100.0,0.81,29.21,34.0,24.73
2010-09-09,Sikkim,176.88,277.37,99.94,37.15,1269.48,100.0,43.5,80.09,33.9,52.67
2010-09-10,Manipur,40.8,64.46,42.89,35.58,1011.36,100.0,10.64,27.05,13.57,29.08
2010-09-11,Mizoram,43.59,117.02,76.17,11.11,2977.55,100.0,24.31,47.9,30.72,38.85
2010-09-12,Mizoram,140.89,265.9,82.73,31.71,3245.98,100.0,25.31,76.32,22.93,59.42
2010-09-13,Nagaland,104.12,215.13,78.65,16.87,2521.55,100.0,2.99,28.86,27.16,38.7
